"","start.date","end.date","debt.volume","relative_changethree","relative_changetwo","relative_changeone"
"230","2008-05-25 00:00:00","2008-05-31 00:00:00",22,-2.33333333333333,-1.5,-1
"231","2008-06-01 00:00:00","2008-06-07 00:00:00",23,0,0.5,1
"232","2008-06-08 00:00:00","2008-06-14 00:00:00",24,1.33333333333333,1.5,1
"233","2008-06-15 00:00:00","2008-06-21 00:00:00",23,0,-0.5,-1
"234","2008-06-22 00:00:00","2008-06-28 00:00:00",25,1.66666666666667,1.5,2
"235","2008-06-29 00:00:00","2008-07-05 00:00:00",22,-2,-2,-3
"236","2008-07-06 00:00:00","2008-07-12 00:00:00",26,2.66666666666667,2.5,4
"237","2008-07-13 00:00:00","2008-07-19 00:00:00",26,1.66666666666667,2,0
"238","2008-07-20 00:00:00","2008-07-26 00:00:00",26,1.33333333333333,0,0
"239","2008-07-27 00:00:00","2008-08-02 00:00:00",25,-1,-1,-1
"240","2008-08-03 00:00:00","2008-08-09 00:00:00",24,-1.66666666666667,-1.5,-1
"241","2008-08-10 00:00:00","2008-08-16 00:00:00",23,-2,-1.5,-1
"242","2008-08-17 00:00:00","2008-08-23 00:00:00",25,1,1.5,2
"243","2008-08-24 00:00:00","2008-08-30 00:00:00",25,1,1,0
"244","2008-08-31 00:00:00","2008-09-06 00:00:00",26,1.66666666666667,1,1
"245","2008-09-07 00:00:00","2008-09-13 00:00:00",28,2.66666666666667,2.5,2
"246","2008-09-14 00:00:00","2008-09-20 00:00:00",33,6.66666666666667,6,5
"247","2008-09-21 00:00:00","2008-09-27 00:00:00",37,8,6.5,4
"248","2008-09-28 00:00:00","2008-10-04 00:00:00",36,3.33333333333334,1,-1
"249","2008-10-05 00:00:00","2008-10-11 00:00:00",39,3.66666666666666,2.5,3
"250","2008-10-12 00:00:00","2008-10-18 00:00:00",33,-4.33333333333334,-4.5,-6
"251","2008-10-19 00:00:00","2008-10-25 00:00:00",31,-5,-5,-2
"252","2008-10-26 00:00:00","2008-11-01 00:00:00",31,-3.33333333333334,-1,0
"253","2008-11-02 00:00:00","2008-11-08 00:00:00",29,-2.66666666666667,-2,-2
"254","2008-11-09 00:00:00","2008-11-15 00:00:00",33,2.66666666666667,3,4
